"Site" "ss_data" "size"
"1" "Dilumacad" "848.466953203339" -12
"2" "Dilumacad" "801.004455340791" -11.9
"3" "Dilumacad" "756.196968017955" -11.8
"4" "Dilumacad" "713.895972271792" -11.7
"5" "Dilumacad" "673.961257159898" -11.6
"6" "Dilumacad" "636.260455017136" -11.5
"7" "Dilumacad" "600.668602709557" -11.4
"8" "Dilumacad" "567.067727431425" -11.3
"9" "Dilumacad" "535.34645567238" -11.2
"10" "Dilumacad" "505.39964405863" -11.1
"11" "Dilumacad" "477.128030844583" -11
"12" "Dilumacad" "450.437906899714" -10.9
"13" "Dilumacad" "425.240805100141" -10.8
"14" "Dilumacad" "401.453207095372" -10.7
"15" "Dilumacad" "378.996266478251" -10.6
"16" "Dilumacad" "357.795547440551" -10.5
"17" "Dilumacad" "337.780778047928" -10.4
"18" "Dilumacad" "318.885617316468" -10.3
"19" "Dilumacad" "301.047435318762" -10.2
"20" "Dilumacad" "284.207105590661" -10.1
"21" "Dilumacad" "268.308809150605" -10
"22" "Dilumacad" "253.299849481952" -9.9
"23" "Dilumacad" "239.130477865025" -9.8
"24" "Dilumacad" "225.753728479927" -9.7
"25" "Dilumacad" "213.125262733574" -9.6
"26" "Dilumacad" "201.203222294926" -9.5
"27" "Dilumacad" "189.948090351299" -9.4
"28" "Dilumacad" "179.322560625885" -9.3
"29" "Dilumacad" "169.291413722309" -9.2
"30" "Dilumacad" "159.821400386366" -9.1
"31" "Dilumacad" "150.881131297996" -9
"32" "Dilumacad" "142.440973028197" -8.9
"33" "Dilumacad" "134.472949816019" -8.8
"34" "Dilumacad" "126.950650840064" -8.7
"35" "Dilumacad" "119.849142677139" -8.6
"36" "Dilumacad" "113.144886657897" -8.5
"37" "Dilumacad" "106.815660845525" -8.4
"38" "Dilumacad" "100.840486378887" -8.3
"39" "Dilumacad" "95.1995579359506" -8.2
"40" "Dilumacad" "89.8741780870462" -8.1
"41" "Dilumacad" "84.8466953203339" -8
"42" "Dilumacad" "80.1004455340791" -7.9
"43" "Dilumacad" "75.6196968017957" -7.8
"44" "Dilumacad" "71.389597227179" -7.7
"45" "Dilumacad" "67.3961257159898" -7.6
"46" "Dilumacad" "63.6260455017136" -7.5
"47" "Dilumacad" "60.0668602709557" -7.4
"48" "Dilumacad" "56.7067727431426" -7.3
"49" "Dilumacad" "53.5346455672379" -7.2
"50" "Dilumacad" "50.539964405863" -7.1
"51" "Dilumacad" "47.7128030844584" -7
"52" "Dilumacad" "45.0437906899714" -6.9
"53" "Dilumacad" "42.5240805100142" -6.8
"54" "Dilumacad" "40.1453207095371" -6.7
"55" "Dilumacad" "37.8996266478251" -6.6
"56" "Dilumacad" "35.7795547440551" -6.5
"57" "Dilumacad" "33.7780778047928" -6.4
"58" "Dilumacad" "31.8885617316468" -6.3
"59" "Dilumacad" "30.1047435318762" -6.2
"60" "Dilumacad" "28.4207105590661" -6.1
"61" "Dilumacad" "26.8308809150605" -6
"62" "Dilumacad" "25.3299849481952" -5.9
"63" "Dilumacad" "23.9130477865025" -5.8
"64" "Dilumacad" "22.5753728479927" -5.7
"65" "Dilumacad" "21.3125262733574" -5.6
"66" "Dilumacad" "20.1203222294926" -5.5
