"Site" "ss_data" "size"
"1" "Dilumacad" "4742.36638019159" -12
"2" "Dilumacad" "4477.08256055257" -11.9
"3" "Dilumacad" "4226.63848531968" -11.8
"4" "Dilumacad" "3990.20403219472" -11.7
"5" "Dilumacad" "3766.99551519336" -11.6
"6" "Dilumacad" "3556.27308703859" -11.5
"7" "Dilumacad" "3357.33828686169" -11.4
"8" "Dilumacad" "3169.53172508293" -11.3
"9" "Dilumacad" "2992.23089779783" -11.2
"10" "Dilumacad" "2824.84812342484" -11.1
"11" "Dilumacad" "2666.82859477509" -11
"12" "Dilumacad" "2517.64854008773" -10.9
"13" "Dilumacad" "2376.8134869352" -10.8
"14" "Dilumacad" "2243.85662324425" -10.7
"15" "Dilumacad" "2118.33724999994" -10.6
"16" "Dilumacad" "1999.83932050405" -10.5
"17" "Dilumacad" "1887.9700613461" -10.4
"18" "Dilumacad" "1782.35867051599" -10.3
"19" "Dilumacad" "1682.65508834314" -10.2
"20" "Dilumacad" "1588.52883718819" -10.1
"21" "Dilumacad" "1499.66792604134" -10
"22" "Dilumacad" "1415.77781639648" -9.9
"23" "Dilumacad" "1336.58044597344" -9.8
"24" "Dilumacad" "1261.81330705231" -9.7
"25" "Dilumacad" "1191.22857636505" -9.6
"26" "Dilumacad" "1124.59229366002" -9.5
"27" "Dilumacad" "1061.68358621707" -9.4
"28" "Dilumacad" "1002.29393674247" -9.3
"29" "Dilumacad" "946.226492217164" -9.2
"30" "Dilumacad" "893.295411407493" -9.1
"31" "Dilumacad" "843.325248875551" -9
"32" "Dilumacad" "796.150373447497" -8.9
"33" "Dilumacad" "751.61441921221" -8.8
"34" "Dilumacad" "709.569767230614" -8.7
"35" "Dilumacad" "669.877056237733" -8.6
"36" "Dilumacad" "632.404720715628" -8.5
"37" "Dilumacad" "597.02855480615" -8.4
"38" "Dilumacad" "563.631300618013" -8.3
"39" "Dilumacad" "532.102259563616" -8.2
"40" "Dilumacad" "502.336925437348" -8.1
"41" "Dilumacad" "474.236638019158" -8
"42" "Dilumacad" "447.708256055257" -7.9
"43" "Dilumacad" "422.663848531969" -7.8
"44" "Dilumacad" "399.020403219471" -7.7
"45" "Dilumacad" "376.699551519337" -7.6
"46" "Dilumacad" "355.627308703859" -7.5
"47" "Dilumacad" "335.733828686169" -7.4
"48" "Dilumacad" "316.953172508294" -7.3
"49" "Dilumacad" "299.223089779783" -7.2
"50" "Dilumacad" "282.484812342484" -7.1
"51" "Dilumacad" "266.682859477509" -7
"52" "Dilumacad" "251.764854008773" -6.9
"53" "Dilumacad" "237.68134869352" -6.8
"54" "Dilumacad" "224.385662324425" -6.7
"55" "Dilumacad" "211.833724999994" -6.6
"56" "Dilumacad" "199.983932050405" -6.5
"57" "Dilumacad" "188.79700613461" -6.4
"58" "Dilumacad" "178.235867051599" -6.3
"59" "Dilumacad" "168.265508834314" -6.2
"60" "Dilumacad" "158.852883718819" -6.1
"61" "Dilumacad" "149.966792604134" -6
"62" "Dilumacad" "141.577781639648" -5.9
"63" "Dilumacad" "133.658044597344" -5.8
"64" "Dilumacad" "126.181330705231" -5.7
"65" "Dilumacad" "119.122857636505" -5.6
"66" "Dilumacad" "112.459229366002" -5.5
"67" "Dilumacad" "106.168358621707" -5.4
"68" "Dilumacad" "100.229393674247" -5.3
"69" "Dilumacad" "94.6226492217164" -5.2
"70" "Dilumacad" "89.3295411407492" -5.1
"71" "Dilumacad" "84.3325248875551" -5
"72" "Dilumacad" "79.6150373447497" -4.9
