species	Func_grp	Winf	K	dwdt	wa	log10_winf
chaet_aculeatus	carn	19	1.957	15.87655057	3.845927185	1.278753601
holo_rufus	carn	583	0.94	27.49009472	553.2368867	2.765668555
chaet_capistratus	carn	120	0.876	45.55999154	26.44492867	2.079181246
chaet_sedentarius	carn	130	0.817	46.73126607	32.0976043	2.113943352
sparis_chrysopterum	herb	1510	0.782	95.40927292	1384.373953	3.178976947
thalas_bifisciatum	carn	97	0.75	32.33277353	28.94820611	1.986771734
chaet_striatus	carn	164	0.708	9.943263022	1.07980883	2.214843848
chaet_ocellatus	carn	200	0.626	47.87507573	26.53927017	2.301029996
sparis_viride	herb	2430	0.6	NA	NA	3.385606274
scarus_vetula	herb	5558	0.6	NA	NA	3.744918542
sparis_rubripinne	herb	2734	0.584	40.45614779	2664.123602	3.43679851
stegastes_planifrons	carn	68	0.58	1.78645579	0.155969616	1.832508913
mulloid_martinicus	carn	440	0.4	63.68328772	49.58074714	2.643452676
acan_bahianus	herb	288	0.383	34.22167666	21.88510512	2.459392488
haem_aurolineatum	carn	188	0.35	19.03317078	12.15073002	2.274157849
pseudo_maculatus	carn	393	0.35	36.49914098	21.00903588	2.59439255
sparis_aurofrenafum	herb	324	0.35	9.679194561	2.121441826	2.51054501
haem_plumieri	carn	1360	0.345	145.1353353	102.6191361	3.133538908
scarus_coeruleus	herb	3720	0.325	NA	NA	3.57054294
scomb_regalis	carn	4900	0.303	NA	NA	3.69019608
haem_melanarum	carn	427	0.3	54.1039661	81.90819513	2.630427875
serranus_tigrinus	carn	21	0.279	0.046457018	0.003095521	1.322219295
haem_sciurus	carn	1185	0.26	133.8638603	265.3476887	3.07371835
acan_chirurgus	herb	820	0.254	57.94685624	48.59271783	2.913813852
ocyurus_chrysurus	carn	3570	0.25	NA	NA	3.552668216
acan_coeruleus	herb	983	0.247	71.80537572	646.5416819	2.992553518
caranx_ruber	carn	3160	0.24	NA	NA	3.499687083
epineph_guttatus	carn	2919	0.24	283.3299422	468.177401	3.465234095
poma_paru	carn	2769	0.231	NA	NA	3.442322956
balistes_vetula	carn	2586	0.23	49.59072754	2363.765991	3.412628521
haem_album	carn	5300	0.2	434.2346938	2412.303011	3.72427587
haem_flavolineatum	carn	480	0.185	30.44578027	46.74475024	2.681241237
holo_tricolor	carn	1306	0.18	97.58940736	232.0868337	3.115943177
lutjanus_apodus	carn	3502	0.18	182.9994742	228.202489	3.544316142
ceph_fulva	carn	640	0.175	34.89094129	49.11054579	2.806179974
mycter_venenosa	carn	12270	0.17	891.4100274	2494.788178	4.088844563
mycter_bonaci	carn	90000	0.16	NA	NA	4.954242509
mala_plumieri	carn	1126	0.147	24.57538356	19.40866133	3.051538391
gingly_cirratum	carn	5.00E+05	0.141	NA	NA	5.698970004
holo_ciliaris	carn	1988	0.136	76.22854422	121.3285512	3.29841638
ceph_cruentata	carn	691	0.13	NA	NA	2.839478047
lutjanus_analis	carn	5511	0.12	51.92105498	31.33441083	3.741230411
epineph_striatus	carn	23800	0.09	NA	NA	4.376576957
sphyraena_barracuda	carn	57800	0.087	NA	NA	4.761927838
serranus_tabacarius	carn	141	0.086	0.108867173	0.025180534	2.149219113
