log10_size	Dilumacad	Pinasil	Tres_Marias	Pasi_Gusung_North_nonreserve2	Pasi_Gusung_North_nonreserve3	Pasi_Gusung_North_reserve2	Pasi_Gusung_North_reserve3	Pasi_Gusung_South_reserve1	Pasi_Gusung_South_nonreserve1
-12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
