"Site" "ss_data" "size"
"1" "Dilumacad" "0" -12
"2" "Dilumacad" "0" -11.9
"3" "Dilumacad" "0" -11.8
"4" "Dilumacad" "0" -11.7
"5" "Dilumacad" "0" -11.6
"6" "Dilumacad" "0" -11.5
"7" "Dilumacad" "0" -11.4
"8" "Dilumacad" "0" -11.3
"9" "Dilumacad" "0" -11.2
"10" "Dilumacad" "0" -11.1
"11" "Dilumacad" "0" -11
"12" "Dilumacad" "0" -10.9
"13" "Dilumacad" "0" -10.8
"14" "Dilumacad" "0" -10.7
"15" "Dilumacad" "0" -10.6
"16" "Dilumacad" "0" -10.5
"17" "Dilumacad" "0" -10.4
"18" "Dilumacad" "0" -10.3
"19" "Dilumacad" "0" -10.2
"20" "Dilumacad" "0" -10.1
"21" "Dilumacad" "0" -10
"22" "Dilumacad" "0" -9.9
"23" "Dilumacad" "0" -9.8
"24" "Dilumacad" "0" -9.7
"25" "Dilumacad" "0" -9.6
"26" "Dilumacad" "0" -9.5
"27" "Dilumacad" "0" -9.4
"28" "Dilumacad" "0" -9.3
"29" "Dilumacad" "0" -9.2
"30" "Dilumacad" "0" -9.1
"31" "Dilumacad" "0" -9
"32" "Dilumacad" "0" -8.9
"33" "Dilumacad" "0" -8.8
"34" "Dilumacad" "0" -8.7
"35" "Dilumacad" "0" -8.6
"36" "Dilumacad" "0" -8.5
"37" "Dilumacad" "0" -8.4
"38" "Dilumacad" "0" -8.3
"39" "Dilumacad" "0" -8.2
"40" "Dilumacad" "0" -8.1
"41" "Dilumacad" "0" -8
"42" "Dilumacad" "0" -7.9
"43" "Dilumacad" "0" -7.8
"44" "Dilumacad" "0" -7.7
"45" "Dilumacad" "0" -7.6
"46" "Dilumacad" "0" -7.5
"47" "Dilumacad" "0" -7.4
"48" "Dilumacad" "0" -7.3
"49" "Dilumacad" "0" -7.2
"50" "Dilumacad" "0" -7.1
"51" "Dilumacad" "0" -7
"52" "Dilumacad" "0" -6.9
"53" "Dilumacad" "0" -6.8
"54" "Dilumacad" "0" -6.7
"55" "Dilumacad" "0" -6.6
"56" "Dilumacad" "0" -6.5
"57" "Dilumacad" "0" -6.4
"58" "Dilumacad" "0" -6.3
"59" "Dilumacad" "0" -6.2
"60" "Dilumacad" "0" -6.1
"61" "Dilumacad" "0" -6
"62" "Dilumacad" "0" -5.9
"63" "Dilumacad" "0" -5.8
"64" "Dilumacad" "0" -5.7
"65" "Dilumacad" "0" -5.6
"66" "Dilumacad" "0" -5.5
"67" "Dilumacad" "0" -5.4
"68" "Dilumacad" "0" -5.3
"69" "Dilumacad" "0" -5.2
"70" "Dilumacad" "0" -5.1
"71" "Dilumacad" "0" -5
"72" "Dilumacad" "0" -4.9
"73" "Dilumacad" "0" -4.8
"74" "Dilumacad" "0" -4.7
