"Site" "refs" "size"
"1" "Dilumacad" "1" -12
"2" "Dilumacad" "1" -11.9
"3" "Dilumacad" "1" -11.8
"4" "Dilumacad" "1" -11.7
"5" "Dilumacad" "1" -11.6
"6" "Dilumacad" "1" -11.5
"7" "Dilumacad" "1" -11.4
"8" "Dilumacad" "1" -11.3
"9" "Dilumacad" "1" -11.2
"10" "Dilumacad" "1" -11.1
"11" "Dilumacad" "1" -11
"12" "Dilumacad" "1" -10.9
"13" "Dilumacad" "1" -10.8
"14" "Dilumacad" "1" -10.7
"15" "Dilumacad" "1" -10.6
"16" "Dilumacad" "1" -10.5
"17" "Dilumacad" "1" -10.4
"18" "Dilumacad" "1" -10.3
"19" "Dilumacad" "1" -10.2
"20" "Dilumacad" "1" -10.1
"21" "Dilumacad" "1" -10
"22" "Dilumacad" "1" -9.9
"23" "Dilumacad" "1" -9.8
"24" "Dilumacad" "1" -9.7
"25" "Dilumacad" "1" -9.6
"26" "Dilumacad" "1" -9.5
"27" "Dilumacad" "1" -9.4
"28" "Dilumacad" "1" -9.3
"29" "Dilumacad" "1" -9.2
"30" "Dilumacad" "1" -9.1
"31" "Dilumacad" "1" -9
"32" "Dilumacad" "1" -8.9
"33" "Dilumacad" "1" -8.8
"34" "Dilumacad" "1" -8.7
"35" "Dilumacad" "1" -8.6
"36" "Dilumacad" "1" -8.5
"37" "Dilumacad" "1" -8.4
"38" "Dilumacad" "1" -8.3
"39" "Dilumacad" "1" -8.2
"40" "Dilumacad" "1" -8.1
"41" "Dilumacad" "1" -8
"42" "Dilumacad" "1" -7.9
"43" "Dilumacad" "1" -7.8
"44" "Dilumacad" "1" -7.7
"45" "Dilumacad" "1" -7.6
"46" "Dilumacad" "1" -7.5
"47" "Dilumacad" "1" -7.4
"48" "Dilumacad" "1" -7.3
"49" "Dilumacad" "1" -7.2
"50" "Dilumacad" "1" -7.1
"51" "Dilumacad" "1" -7
"52" "Dilumacad" "1" -6.9
"53" "Dilumacad" "1" -6.8
"54" "Dilumacad" "1" -6.7
"55" "Dilumacad" "1" -6.6
"56" "Dilumacad" "1" -6.5
"57" "Dilumacad" "1" -6.4
"58" "Dilumacad" "1" -6.3
"59" "Dilumacad" "1" -6.2
"60" "Dilumacad" "1" -6.1
"61" "Dilumacad" "1" -6
"62" "Dilumacad" "1" -5.9
"63" "Dilumacad" "1" -5.8
"64" "Dilumacad" "1" -5.7
"65" "Dilumacad" "1" -5.6
"66" "Dilumacad" "1" -5.5
"67" "Dilumacad" "1" -5.4
"68" "Dilumacad" "1" -5.3
"69" "Dilumacad" "1" -5.2
"70" "Dilumacad" "1" -5.1
"71" "Dilumacad" "1" -5
"72" "Dilumacad" "1" -4.9
"73" "Dilumacad" "1" -4.8
"74" "Dilumacad" "1" -4.7
"75" "Dilumacad" "1" -4.6
"76" "Dilumacad" "1" -4.5
"77" "Dilumacad" "1" -4.4
"78" "Dilumacad" "1" -4.3
"79" "Dilumacad" "1" -4.2
"80" "Dilumacad" "1" -4.1
"81" "Dilumacad" "1" -4
"82" "Dilumacad" "1" -3.9
"83" "Dilumacad" "1" -3.8
"84" "Dilumacad" "1" -3.7
"85" "Dilumacad" "1" -3.6
"86" "Dilumacad" "1" -3.5
"87" "Dilumacad" "1" -3.4
"88" "Dilumacad" "1" -3.3
"89" "Dilumacad" "1" -3.2
"90" "Dilumacad" "1" -3.1
"91" "Dilumacad" "1" -3
"92" "Dilumacad" "1" -2.9
"93" "Dilumacad" "1" -2.8
"94" "Dilumacad" "1" -2.7
"95" "Dilumacad" "1" -2.6
"96" "Dilumacad" "1" -2.5
"97" "Dilumacad" "1" -2.4
"98" "Dilumacad" "1" -2.3
"99" "Dilumacad" "1" -2.2
"100" "Dilumacad" "1" -2.1
"101" "Dilumacad" "1" -2
"102" "Dilumacad" "1" -1.9
"103" "Dilumacad" "1" -1.8
"104" "Dilumacad" "1" -1.7
"105" "Dilumacad" "1" -1.6
"106" "Dilumacad" "0.58665" -1.5
"107" "Dilumacad" "0.459656424013809" -1.4
"108" "Dilumacad" "0.329626887512746" -1.3
"109" "Dilumacad" "0.21370212647821" -1.2
"110" "Dilumacad" "0.123688686347674" -1.1
"111" "Dilumacad" "0.0621021166782425" -1
"112" "Dilumacad" "0.024508145477407" -0.899999999999999
"113" "Dilumacad" "0.0040241169175369" -0.799999999999999
"114" "Dilumacad" "0" -0.699999999999999
"115" "Dilumacad" "0" -0.6
"116" "Dilumacad" "0" -0.5
"117" "Dilumacad" "0" -0.399999999999999
"118" "Dilumacad" "0" -0.299999999999999
"119" "Dilumacad" "0" -0.199999999999999
"120" "Dilumacad" "0" -0.0999999999999996
"121" "Dilumacad" "0" 0
"122" "Dilumacad" "0" 0.100000000000001
"123" "Dilumacad" "0" 0.200000000000001
"124" "Dilumacad" "0" 0.300000000000001
"125" "Dilumacad" "0" 0.4
"126" "Dilumacad" "0" 0.5
"127" "Dilumacad" "0.643652348162697" 0.600000000000001
"128" "Dilumacad" "0.472130388008609" 0.700000000000001
"129" "Dilumacad" "0.315993862697206" 0.800000000000001
"130" "Dilumacad" "0.201379102692869" 0.9
"131" "Dilumacad" "0.129484126194516" 1
"132" "Dilumacad" "0.088872206097703" 1.1
"133" "Dilumacad" "0.0676040595786099" 1.2
"134" "Dilumacad" "0.0573032691236681" 1.3
"135" "Dilumacad" "0.0529393145604842" 1.4
"136" "Dilumacad" "0.64280043172013" 1.5
"137" "Dilumacad" "0.522730124041399" 1.6
"138" "Dilumacad" "0.41175501067608" 1.7
"139" "Dilumacad" "0.319863980491729" 1.8
"140" "Dilumacad" "0.249407899679666" 1.9
"141" "Dilumacad" "1" 2
"142" "Dilumacad" "1" 2.1
