Site_name	alr	invert.prod	Mod_pred_biomass	Mod_herb_biomass	Mod_inv_biomass	Mod_pred_biomass_5	Mod_herb_biomass_5	Pred_prod	Herb_prod	Inv_prod	Pred_Fprod	Herb_Fprod	net_algae	net_detritus
Dilumacad	109	125.8925412	54.16634311	19.43840291	15.46728787	52.88139374	17.62118507	55.82883504	10.9	211.0894194	39.64988622	3.244165242	42.42334766	474.236638
Pinasil	109	125.8925412	115.2560733	34.44665811	5.779781663	112.7769181	31.82198504	35.40420346	10.9	167.9489792	18.38178417	3.485753445	24.58060195	687.0081742
Tres_Marias	109	125.8925412	63.41786636	27.76064808	13.97846439	62.29117349	26.27445805	43.12145983	10.9	184.0652877	30.4396327	4.913498688	41.5185906	444.3874667
Pasi_Gusung_North_nonreserve2	109	125.8925412	67.47267693	21.30973293	13.34409065	65.59661627	18.75275227	61.66414647	10.9	223.6539979	41.72912316	2.467019275	37.07869477	540.965124
Pasi_Gusung_North_nonreserve3	109	125.8925412	69.38707814	30.01142946	12.37532937	68.09936439	28.34993875	35.20480695	10.9	167.1991079	22.97762007	4.927411304	39.16541614	442.5952119
Pasi_Gusung_North_reserve2	109	125.8925412	83.23191497	28.73635752	10.66299218	81.10933761	25.56939537	49.19937789	10.9	197.1772806	31.55832779	2.958359078	30.96013384	552.2538759
Pasi_Gusung_North_reserve3	109	125.8925412	86.13853307	35.97571928	9.255070546	83.89357383	33.37254814	42.1510134	10.9	182.1645186	25.51298867	4.324819379	30.3539329	561.3595194
Pasi_Gusung_South_reserve1	109	125.8925412	65.65298563	24.22235093	16.04147782	64.67495716	22.8885517	55.38375277	10.9	210.3074378	42.55214402	5.001124688	44.7544987	451.7061809
Pasi_Gusung_South_nonreserve1	109	125.8925412	66.86802709	28.13154242	14.51462757	65.93849086	26.86418734	37.46590735	10.9	172.0470566	26.99765111	5.530622122	43.58168328	410.7021322
Dilumacad	163.5	251.1886432	51.75680378	26.55354966	17.07435746	50.58000144	24.50457435	56.85439656	16.35	213.3814923	41.11528785	5.590901687	49.50427417	454.0916301
Pinasil	163.5	251.1886432	134.2111532	43.59512749	6.770884519	131.5891679	40.60012898	61.85334767	16.34999999	224.7773364	38.99763285	5.342758585	28.77155478	798.4027663
Tres_Marias	163.5	251.1886432	60.65529683	38.71785638	15.60394397	59.62256232	37.04166775	46.03938562	16.35	190.4431502	33.48554211	8.089824959	48.00724068	429.9929926
Pasi_Gusung_North_nonreserve2	163.5	251.1886432	64.79555789	29.43679496	14.41572637	63.01257859	26.56621747	63.672536	16.35	228.0422065	43.54545266	4.482066714	43.40485025	527.2777568
Pasi_Gusung_North_nonreserve3	163.5	251.1886432	66.01775754	41.46795873	13.8497678	64.82788875	39.58996649	38.71797484	16.35	174.8428404	26.35212134	8.047868616	45.39880562	431.2954247
Pasi_Gusung_North_reserve2	163.5	251.1886432	80.21167235	40.02931732	11.58769023	78.12786192	36.49029189	53.87944196	16.35	207.3037955	35.22104437	5.202008298	36.37135979	549.6957728
